-1       -2        1
-1       -1        2
-2       -1        3
-3       -1        4
-3        0        5
-2        0        6
-1        0        7
0        0        8
1        0        9
1       -1       10
1       -2       11
0       -2       12
0       -3       13
-1       -3       14
-2       -3       15
-2       -2       16

-1        6        1
-1        5        2
-1        4        3
-1        3        4
0        3        5
0        2        6
0        1        7
0        0        8
0       -1        9
1       -1       10
1        0       11
1        1       12
2        1       13
3        1       14
4        1       15
5        1       16

-2       -1        1
-2        0        2
-2        1        3
-1        1        4
-1        2        5
0        2        6
0        1        7
0        0        8
1        0        9
2        0       10
3        0       11
3        1       12
3        2       13
2        2       14
2        1       15
1        1       16
